codigo,fila_saldos,sociedad,sociedad_label,banco,banco_label,moneda,tipo_cuenta,es_transito,instrumento,rol,concepto_raw,en_resumen,notas
KAN|MACRO|USD|TRANSITO,71,KAN,KANDIKO,MACRO,BANCO MACRO,USD,,1,,transito,Depósitos en Tránsito,0,
KAN|MACRO|USD|CA,72,KAN,KANDIKO,MACRO,BANCO MACRO,USD,CA,0,,saldo,2) DOLARES (CA),0,
KAN|ITAU|ARS|CC,75,KAN,KANDIKO,ITAU,BANCO ITAU,ARS,CC,0,,saldo,1) PESOS (CC),1,
KAN|ITAU|ARS|TRANSITO,76,KAN,KANDIKO,ITAU,BANCO ITAU,ARS,,1,,transito,Depósitos en Tránsito,0,
KAN|ITAU|ARS|AVELLANEDA,77,KAN,KANDIKO,ITAU,BANCO ITAU,ARS,AVELLANEDA,0,,saldo,1) PESOS (AVELLANEDA),0,
KAN|ITAU|USD|CC,78,KAN,KANDIKO,ITAU,BANCO ITAU,USD,CC,0,,saldo,2) DOLARES (CC),1,
KAN|ITAU|USD|TRANSITO,79,KAN,KANDIKO,ITAU,BANCO ITAU,USD,,1,,transito,Depósitos en Tránsito,0,
KAN|FRANCES|ARS|CC,82,KAN,KANDIKO,FRANCES,BANCO FRANCES,ARS,CC,0,,saldo,1) PESOS,1,
KAN|FRANCES|USD|CC,83,KAN,KANDIKO,FRANCES,BANCO FRANCES,USD,CC,0,,saldo,2) DOLARES,1,
KAN|FRANCES|EUR|CC,84,KAN,KANDIKO,FRANCES,BANCO FRANCES,EUR,CC,0,,saldo,3) EUROS,1,
KAN|BAPRO|ARS|CC,87,KAN,KANDIKO,BAPRO,BANCO PROVINCIA,ARS,CC,0,,saldo,1) PESOS,1,
KAN|BAPRO|ARS|TRANSITO,88,KAN,KANDIKO,BAPRO,BANCO PROVINCIA,ARS,,1,,transito,Depósitos en Tránsito,1,
KAN|BAPRO|USD|CC,89,KAN,KANDIKO,BAPRO,BANCO PROVINCIA,USD,CC,0,,saldo,2) DOLARES (CC),0,
KAN|MACO|ARS|CC,92,KAN,KANDIKO,MACO,MACO,ARS,CC,0,,saldo,1) PESOS,1,
KAN|MACO|USD|CC,93,KAN,KANDIKO,MACO,MACO,USD,CC,0,,saldo,2) DOLARES,1,
KAN|MACO|EUR|CC,94,KAN,KANDIKO,MACO,MACO,EUR,CC,0,,saldo,3) EUROS,0,
KAN|BNA|ARS|CC,97,KAN,KANDIKO,BNA,BNA,ARS,CC,0,,saldo,1) PESOS (CC),1,
KAN|BNA|ARS|TRANSITO,98,KAN,KANDIKO,BNA,BNA,ARS,,1,,transito,Depósitos en Tránsito,1,
KAN|BNA|USD|CC,99,KAN,KANDIKO,BNA,BNA,USD,CC,0,,saldo,2) DOLARES (CC),1,
KAN|BNA|USD|TRANSITO,100,KAN,KANDIKO,BNA,BNA,USD,,1,,transito,Depósitos en Tránsito,0,
KAN|BIBANK|ARS|CC,103,KAN,KANDIKO,BIBANK,Bi Bank,ARS,CC,0,,saldo,1) PESOS (CC),1,
KAN|BIBANK|ARS|TRANSITO,104,KAN,KANDIKO,BIBANK,Bi Bank,ARS,,1,,transito,Depósitos en Tránsito,1,
KAN|BIBANK|USD|CC,105,KAN,KANDIKO,BIBANK,Bi Bank,USD,CC,0,,saldo,2) DOLARES (CC),1,
KAN|BIBANK|USD|TRANSITO,106,KAN,KANDIKO,BIBANK,Bi Bank,USD,,1,,transito,Depósitos en Tránsito,0,
KAN|BIND|ARS|CC,109,KAN,KANDIKO,BIND,Banco Industrial,ARS,CC,0,,saldo,1) PESOS (CC),1,
KAN|BIND|ARS|TRANSITO,110,KAN,KANDIKO,BIND,Banco Industrial,ARS,,1,,transito,Depósitos en Tránsito,1,
KAN|BIND|USD|CC,111,KAN,KANDIKO,BIND,Banco Industrial,USD,CC,0,,saldo,2) DOLARES (CC),1,
KAN|BIND|USD|TRANSITO,112,KAN,KANDIKO,BIND,Banco Industrial,USD,,1,,transito,Depósitos en Tránsito,0,
KAN|TESORERIA|ARS|CC,115,KAN,KANDIKO,TESORERIA,TESORERIA,ARS,CC,0,,saldo,1) PESOS,1,
